order_id,order_status,dispatch_status,datetime,
14959,Waiting Driver Response,API: Request Received,04-08-2024 07:12,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,04-08-2024 07:17,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,04-08-2024 07:17,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 07:38,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,04-08-2024 07:38,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",04-08-2024 07:38
14959,Waiting Driver Response,API: Request Received,04-08-2024 07:43,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,04-08-2024 07:48,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,04-08-2024 07:48,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 08:08,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,04-08-2024 08:08,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",04-08-2024 08:08
14959,Waiting Driver Response,API: Request Received,04-08-2024 08:13,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,04-08-2024 08:18,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,04-08-2024 08:18,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 08:39,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,04-08-2024 08:39,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",04-08-2024 08:39
14959,Waiting Driver Response,API: Request Received,04-08-2024 08:44,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,04-08-2024 08:49,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,04-08-2024 08:49,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 09:09,
14959,Waiting Driver Response,LBS: Auto Dispatch Automation Ended,04-08-2024 09:09,
14959,Un-Assigned,"Group ID 123: {process_status"":true","success:""Auto Dispatch Success""}""",04-08-2024 09:09
14959,Waiting Driver Response,API: Request Received,04-08-2024 09:14,
14959,Un-Assigned,AD:ranking_dispatch_subcon_comp: Sub Contract Company - No Vehicles,04-08-2024 09:19,
14959,Un-Assigned,AD:broadcast_subcon: Vehicle Group does not have subcon driver,04-08-2024 09:19,
14959,Un-Assigned,LBS: Auto Dispatch Automation Started,04-08-2024 09:40,
